,CES_pollution_N_100,CES_pollution_N_1000,CES_pollution_N_250,CES_pollution_N_50,CES_pollution_N_500,CES_score_N_100,CES_score_N_1000,CES_score_N_250,CES_score_N_50,CES_score_N_500,PA_N_100,PA_N_1000,PA_N_250,PA_N_50,PA_N_500,Roads_N_100,Roads_N_1000,Roads_N_250,Roads_N_50,Roads_N_500,School_N_100,School_N_1000,School_N_250,School_N_50,School_N_500,AQS
"Mean % of NNs that are LCSs, among misclassifications > 1",0.018999397,0.240265284,0.034575067,0.017387252,0.095575494,0.037679576,0.409307729,0.232405302,0.019860412,0.340684178,0.064968924,0.459053316,0.146274147,0.031702431,0.261081364,0.258689282,0.929554191,0.807928671,0.231939947,0.820938109,0.400223873,0.95257323,0.670639484,0.619647429,0.89237785,0.5791168
"Mean % of NNs that are LCSs, among misclassifications > 1",0.015313111,0.234373567,0.029229528,0.015353158,0.086886285,0.039805289,0.418312909,0.247909405,0.0177744,0.363371147,0.04778976,0.376564142,0.077485404,0.008526801,0.172884501,0.187726411,0.990331224,0.86493259,0.182303743,0.877719123,0.601797685,0.981651762,0.595369421,0.849310909,0.912000718,0.611818921
"Mean % of NNs that are LCSs, among misclassifications > 1",0.013736518,0.208054385,0.033429167,0.01132437,0.065331031,0.042449006,0.417006069,0.273094395,0.021231947,0.376855811,0.058291788,0.511536285,0.152234377,0.016539379,0.272950591,0.240495744,0.955378416,0.721448424,0.235071499,0.694293511,0.259458067,0.996961496,0.914313653,0.688836368,0.942105109,0.682616885
"Mean distance to NN monitor/sensor, among all misclassifications",9278.52402,6071.268876,8764.849685,9588.991711,7058.441662,9090.674443,6424.7069,7932.845336,9490.028475,7138.526543,39995.64955,28485.92133,36658.16157,40721.85167,33129.32975,10380.49831,6917.322422,9262.009963,11061.88144,8027.414828,9215.883337,4588.229847,7512.4726,10390.47908,6073.962535,41494.24549
"Mean distance to NN monitor/sensor, among all misclassifications",8476.099888,5730.541323,7993.509431,8716.417853,6527.376314,7987.655702,5753.715561,7067.139923,8429.480316,6304.052248,47743.06133,29262.46766,41658.97023,48885.90291,36384.84717,9544.663847,6723.225811,8597.702807,10112.23758,7648.441752,8429.542294,3832.251246,6769.221886,9537.27645,5419.261554,49847.35229
"Mean distance to NN monitor/sensor, among all misclassifications",7855.443697,5164.452874,7074.094606,8257.922202,6008.597505,7543.492482,5006.263373,6215.171293,7879.262547,5525.810152,54627.26662,34018.42046,47958.52061,55632.10122,42321.77791,9328.929224,6332.200151,8390.099057,9979.668704,7344.882328,8439.312751,4569.549259,7120.532114,9609.372393,6189.31775,56521.28441
"Median distance to NN monitor/sensor, among all misclassifications",8031.809793,5679.3042,7693.757677,8191.303989,6475.02333,7748.776813,5603.104118,6749.689853,8093.991568,6214.361084,29813.13455,21246.13226,27396.14241,30535.20706,24740.78042,8891.1659,6285.997978,8026.01195,9481.864197,7061.484574,6802.573702,2974.850482,5073.068788,7849.866974,4038.868476,31283.33441
"Median distance to NN monitor/sensor, among all misclassifications",7518.257423,5467.087508,7196.654726,7602.06846,5929.358368,6925.493503,5021.004133,6166.636964,7401.327833,5661.504317,31744.47215,21744.14537,28707.97322,32552.3418,25727.34005,8127.050463,6118.545422,7479.519887,8646.299715,6677.672121,5942.068706,2475.27472,4352.788684,6922.515318,3437.644028,33265.02191
"Median distance to NN monitor/sensor, among all misclassifications",6489.387416,4685.95733,6175.68046,6687.605519,5348.608505,6116.334664,4311.79702,4996.425891,6426.60088,4717.942476,39945.32757,25260.36142,35512.38347,41023.11689,31022.97444,7756.906978,5614.458355,7222.095365,7874.194489,6260.867645,5173.308551,2328.448726,4132.31304,5828.56056,3315.695202,42099.08678
"Mean % of NNs that are LCSs, among all misclassifications",0.053071541,0.441851649,0.09796932,0.038155998,0.304252128,0.085241528,0.467925819,0.267643111,0.044696635,0.383015894,0.136519041,0.578217002,0.265739827,0.079475242,0.400743618,0.11990474,0.520474015,0.233632502,0.068528645,0.376248085,0.418617052,0.886015527,0.614475858,0.290868344,0.755328661,0.401271666
"Mean % of NNs that are LCSs, among all misclassifications",0.04161133,0.425146234,0.079081699,0.031651501,0.295668463,0.093526546,0.478996529,0.272235372,0.045614456,0.396210343,0.095619679,0.481894661,0.195023929,0.048626895,0.307931257,0.107508411,0.460931804,0.217137806,0.059558425,0.334929556,0.443562438,0.891416036,0.630490372,0.319330965,0.758402534,0.42452762
"Mean % of NNs that are LCSs, among all misclassifications",0.044796982,0.386529096,0.093535593,0.030859743,0.239508722,0.06452181,0.461492183,0.297600089,0.045603309,0.397865564,0.076288356,0.500636793,0.18207657,0.035726778,0.303571833,0.104264514,0.404629077,0.199260977,0.074169521,0.312010684,0.440751607,0.868143524,0.585010642,0.334568737,0.744584616,0.40628742
