"X","CES_pollution_N_100","CES_pollution_N_1000","CES_pollution_N_250","CES_pollution_N_50","CES_pollution_N_500","CES_score_N_100","CES_score_N_1000","CES_score_N_250","CES_score_N_50","CES_score_N_500","PA_N_100","PA_N_1000","PA_N_250","PA_N_50","PA_N_500","Roads_N_100","Roads_N_1000","Roads_N_250","Roads_N_50","Roads_N_500","School_N_100","School_N_1000","School_N_250","School_N_50","School_N_500","AQS"
"Real class > shown class",0.0491355823983766,0.0511222088308097,0.0504055936568548,0.047535382634807,0.05097471676701,0.0474845371991441,0.0487869929811531,0.0482634793553197,0.046804666099835,0.0486317582346497,0.011912818,0.014753172,0.012718012,0.011541798,0.013635073,0.0144820402005435,0.0160433527558812,0.0162275502506794,0.0134348736611376,0.0164097124969108,0.0121755151521025,0.0143449885926856,0.0131201064328854,0.0118132437916265,0.0137089636085096,0.0111480047987561
"Shown class > real class",0.0726842101862576,0.054348786223444,0.0617619766417153,0.0838433644320237,0.0569023424511085,0.0834759801580986,0.0660318361158347,0.0735449359545343,0.0923621646129489,0.0683418963079618,0.089053235,0.05322389,0.077275327,0.092595666,0.067408919,0.0434185841731041,0.0193489206375358,0.0298953894928101,0.0541426832698645,0.0237059955376829,0.085244490579822,0.0553445910038783,0.0766471379720848,0.0903107682647983,0.066976353849885,0.0963084756103611
"AQI class off by >1",0.00105718231616819,0.000498336186764332,0.000760871134503192,0.00128679843181262,0.000613260421673322,0.00160016430864613,0.00106530555055145,0.00132199220752321,0.00186004512105724,0.00115875388833336,0.000591367,0.000247849,0.000469172,0.000632405,0.000363293,0.000222855976980111,3.72647154450479e-05,0.00010736200546811,0.000332159836490537,6.17080487053334e-05,0.000547748705824974,0.000203033031985886,0.000419607127793085,0.000608834240251645,0.000313909142042552,0.000676099894292022
"AQI class off by >1",0.001951483747128,0.000739433198025456,0.00127540311914433,0.00242963505651216,0.000964118252898779,0.00310798907010979,0.00195391401392605,0.00247314705075408,0.00365095715458896,0.0021270750612903,0.000924823,0.000331761,0.000713346,0.000990548,0.000530525,0.000216494911989866,3.11615518811765e-05,9.16115348234281e-05,0.000357940347276369,5.1031289773522e-05,0.000785001507267893,0.000143884647149279,0.00051635928096166,0.000916468505948976,0.000324424987685644,0.00106437811234662
"AQI class off by >1",0.00141496445352999,0.000587738019666224,0.000942157981901056,0.00179272400944891,0.000740695487355499,0.00252273143998518,0.00169630258666987,0.00208253753514775,0.00295762351392833,0.00183279070135416,0.000902219,0.000283635,0.000670876,0.000967747,0.000479742,0.000215826342069903,2.7441819466068e-05,9.12631301799903e-05,0.000362702870092761,4.82483132473683e-05,0.000755389889706604,0.000168344131457674,0.000520178497298911,0.000875046698801442,0.00034577707843991,0.00102596026465615
"95th percentile of errors",5.92638167599758,4.31279286809999,5.21344670505341,6.50670896523791,4.73154072670637,5.9921063864345,4.32924227852256,5.29263885657758,6.52518970610319,4.77499502728998,7.797300734,6.57976116,7.432258946,7.919198013,7.066021546,6.06803811685973,4.38743277913386,5.27742650889449,6.65521343458757,4.80151083253152,7.7421720801373,6.79748029014944,7.46170125175717,7.89773735193968,7.18232205442,8.07509241186603
"% of the |errors| > 10",0.0117100408048615,0.0040671537559007,0.00772989019134717,0.0154537235537334,0.00559760683700605,0.0118779444361768,0.00415738215481622,0.00810251954428719,0.0155637164503879,0.00578575243293704,0.02605866,0.017032389,0.023169331,0.027024851,0.020542972,0.012912425587147,0.00425677411538768,0.00821542579815863,0.0168915601719316,0.00589088351499035,0.0250270005805692,0.0173728838477024,0.0226930572980978,0.0264863968685189,0.0204885362272759,0.0281340274620221
"95th percentile of errors",6.09581551320249,4.59200259227638,5.39894991884194,6.76698424305313,4.94672683267642,5.93038392792566,4.45005539269026,5.257847104711,6.41797757090624,4.83278008111962,9.09994541,7.082448349,8.499263035,9.264347572,7.923972503,6.46655165416506,4.75625220247029,5.62843696729525,7.05338504859942,5.17232825678353,8.878340532043,7.16726928657002,8.40386415630371,9.14153955748823,7.85374485350078,9.42663996323054
"% of the |errors| > 10",0.0137407642332946,0.00460405480453759,0.00887182787046821,0.0187357594345045,0.00615882991231994,0.0124609406371963,0.00410834919847936,0.00809236010237255,0.0162289998621229,0.00571627420450278,0.039437227,0.020784908,0.033463742,0.041144691,0.028075803,0.0163946244317739,0.00528151863357048,0.0104670360742527,0.0210674838228376,0.00741200371531149,0.0367612500352004,0.0198821532325934,0.031816265890366,0.0396754590242414,0.0265397664819629,0.0428450131591643
"95th percentile of errors",6.10485653123319,4.31536882137248,5.26256973191397,6.87063842405879,4.74572497217865,6.09573441099852,4.18615540406224,5.21253204184434,6.65680203452985,4.64036503777519,9.102225734,7.130096515,8.487547845,9.250290431,7.951613492,6.28962608760971,4.44979754468828,5.37439655572819,6.9994442234755,4.87689298450285,8.894331818444,7.26643458041227,8.47614632954701,9.13422182183056,7.93400257131542,9.40174917026668
"% of the |errors| > 10",0.011649689532292,0.00359562714615461,0.00700530076104913,0.0169006308347542,0.00497773052709015,0.0111400414001208,0.00321908161166352,0.00686299554725319,0.0149995078616484,0.00470709972980092,0.038558123,0.018736629,0.03180651,0.04028587,0.026484817,0.0132511013302265,0.0039663446728061,0.00792415780052856,0.018477761563477,0.00561661512780415,0.0357386498548674,0.0188345236768404,0.0309866732754557,0.0386765057781907,0.0255629839051528,0.0419623488245286
