,CES_pollution_N_100,CES_pollution_N_1000,CES_pollution_N_250,CES_pollution_N_50,CES_pollution_N_500,CES_score_N_100,CES_score_N_1000,CES_score_N_250,CES_score_N_50,CES_score_N_500,PA_N_100,PA_N_1000,PA_N_250,PA_N_50,PA_N_500,Roads_N_100,Roads_N_1000,Roads_N_250,Roads_N_50,Roads_N_500,School_N_100,School_N_1000,School_N_250,School_N_50,School_N_500,AQS
Median distance to NN monitor/sensor,7560.735042,5710.899777,7102.790833,7791.842691,6542.718121,7783.137807,6228.612955,7542.924962,8223.672224,6946.344573,6296.686794,3086.390672,5062.543231,6983.694443,4053.217033,7510.595757,5164.137683,6962.768285,7819.367301,6373.979472,5244.11891,1956.294268,3771.940347,6075.600558,2826.184191,8297.938814
Median distance to NN monitor/sensor,6768.095182,5474.236585,6457.874714,7007.943378,5895.706192,7142.0769,5760.767969,6992.992427,7467.721605,6412.920128,6044.731201,3275.913893,5020.595296,6602.785758,4141.730765,6997.945816,4944.607976,6550.194458,7283.55736,6098.569798,4568.810643,1848.49448,3200.155197,5100.727276,2435.497774,7491.361647
Median distance to NN monitor/sensor,5764.472404,4696.676247,5531.173341,5819.191787,4974.406617,6073.892584,4796.347496,5843.643981,6375.40231,5066.935019,5476.114492,3268.468118,4736.894854,5854.776507,3982.7773,5818.717139,4611.954648,5644.362643,6114.173134,5380.651025,3745.751909,1846.77558,3050.595641,4321.651484,2316.104602,6396.319508
"Median distance to NN monitor/sensor, among misclassifications > 1",6657.702698,4925.392779,6218.040509,6726.771538,5525.87168,6679.314504,5463.3394,6578.383101,7468.28607,5648.672311,29410.15963,10223.63616,23541.20228,31979.117,15555.0286,21896.23712,9141.053781,15073.62933,28924.43425,12255.53194,26880.43311,2432.929021,6214.382956,36810.22513,3611.606758,36812.27882
"Median distance to NN monitor/sensor, among misclassifications > 1",6248.660732,4665.899931,5808.069615,6381.191352,4970.067863,6456.73735,5046.643964,6381.191352,6978.234964,5314.042735,24720.98267,11459.69767,20591.1345,27249.62493,14218.10282,26928.19388,10736.54382,14812.59029,22360.35476,11461.24071,15944.82062,1884.089697,4538.138648,27652.98808,2918.294714,29752.15493
"Median distance to NN monitor/sensor, among misclassifications > 1",4956.531578,3666.089376,4610.792166,5088.127213,3772.461076,5398.024235,3945.387802,5314.042735,5624.61196,4016.108922,37846.54688,16385.47026,30018.03004,37885.6277,19760.46336,35718.36239,11972.98602,15073.62933,29752.15493,13415.31672,47542.54399,2216.240816,26917.03181,39095.03141,2785.274364,39095.03141
Mean % of NNs that are LCSs,0.128373116,0.495850253,0.226171212,0.091073901,0.353985432,0.118844303,0.409967773,0.166926595,0.026391091,0.282798739,0.335359723,0.754139732,0.508511988,0.221345414,0.637584042,0.162150021,0.566987129,0.305285732,0.083768483,0.409737275,0.47354438,0.897345237,0.682961112,0.358570294,0.815799681,0.338818239
Mean % of NNs that are LCSs,0.136137052,0.471451358,0.214290731,0.100579121,0.329695417,0.10840642,0.397973778,0.144118673,0.024539814,0.273192351,0.297868368,0.719731303,0.468350804,0.189204885,0.599919321,0.124343918,0.511079619,0.240425923,0.04853381,0.34311146,0.507447871,0.903004134,0.692439763,0.40501758,0.818201679,0.374883554
Mean % of NNs that are LCSs,0.141331694,0.459453523,0.232020389,0.117933743,0.335688588,0.122260045,0.394000491,0.162535876,0.049174314,0.321531688,0.215875842,0.653725323,0.376798812,0.127131424,0.516989961,0.12049048,0.423965519,0.210338147,0.060066869,0.27990031,0.42259474,0.838040106,0.591338976,0.337509595,0.732866096,0.342665649
"Mean % of NNs that are LCSs, among misclassifications > 1",0.071842748,0.361786751,0.091077644,0.055060416,0.266993643,0.045185587,0.311617104,0.072719921,0.024454334,0.278694824,0.215028355,0.821954739,0.406443877,0.146820708,0.626328592,0.18002613,0.821862858,0.637448658,0.421728091,0.647772233,0.669597735,0.920448432,0.760635241,0.140808084,0.924195816,0.308312007
"Mean % of NNs that are LCSs, among misclassifications > 1",0.090146607,0.348212109,0.104012889,0.068108261,0.260332865,0.036516122,0.304894866,0.061396108,0.027556352,0.2756476,0.202795243,0.788849507,0.367854431,0.115946518,0.601390348,0.111793195,0.974178151,0.509501623,0.226064239,0.492932769,0.600102916,0.954644799,0.880596394,0.093180444,0.952252322,0.254291897
"Mean % of NNs that are LCSs, among misclassifications > 1",0.091100189,0.414786422,0.117178411,0.087312083,0.310054773,0.048050372,0.308588601,0.075908005,0.042226657,0.301626219,0.135906568,0.807818678,0.36060775,0.082464242,0.584780055,0.206836206,0.873355008,0.525000513,0.46275528,0.524421143,0.681904029,0.961332593,0.515942754,0.005790035,0.962888262,0.14389591
"Mean distance to NN monitor/sensor, among all misclassifications",8589.171301,6108.726568,7884.806022,8814.440052,7084.632361,8571.486123,6813.101888,8236.668802,9249.328323,7502.188023,9389.171219,5746.436345,8070.160686,10149.53201,6975.722883,9975.694791,6507.666144,8791.523516,10523.1951,7811.631613,8458.808205,3913.991722,6321.595388,9539.917937,5085.857193,11552.74251
"Mean distance to NN monitor/sensor, among all misclassifications",7673.543138,5613.34272,7061.384962,7905.647404,6394.317312,7701.160306,6218.318092,7509.657566,8265.644123,6754.473377,8904.016245,5815.046039,7829.271093,9474.321175,6917.935849,9485.86422,6398.647427,8445.556559,9882.404421,7545.203325,7522.355676,3399.423906,5656.876176,8526.674836,4553.757971,10463.37317
"Mean distance to NN monitor/sensor, among all misclassifications",7028.416694,4963.653486,6317.834405,7244.932738,5655.566294,6855.068415,5252.173821,6596.499319,7453.803341,5689.892928,9717.893324,6583.108575,8760.577625,10142.76518,7795.030727,8977.760404,6168.788589,7985.082367,9643.972926,7122.754864,8012.55879,4111.32401,6465.898674,9256.805905,5571.978447,10712.5308
"Median distance to NN monitor/sensor, among all misclassifications",7302.81329,5555.372359,6760.258132,7442.121761,6222.584318,7468.28607,6072.054566,7350.012195,7894.226042,6627.235149,7331.177541,3949.548808,6082.167523,8074.037949,5015.707514,8510.427261,5851.464278,7823.756015,8801.817326,7080.865448,6233.884383,2704.023991,4579.373444,7138.752624,3478.859356,9634.423406
"Median distance to NN monitor/sensor, among all misclassifications",6582.955579,5159.403988,6273.144201,6666.47579,5658.464929,6904.900913,5671.476891,6757.048398,7318.926006,6114.173134,7017.776042,4127.513112,5987.994994,7551.206168,5084.572384,7997.183769,5777.639957,7460.183344,8285.726534,6802.343537,5510.243398,2188.062153,3942.101739,6219.547936,2929.227978,8598.770102
"Median distance to NN monitor/sensor, among all misclassifications",5592.688134,4443.94194,5374.069354,5651.917789,4713.016606,5853.599224,4611.797081,5765.122731,6211.773156,4814.719225,6752.198113,3994.430674,5788.344181,7247.309594,4905.56508,7065.291681,5497.337544,6795.782535,7465.919269,6393.078962,4693.224214,2193.407034,3717.298438,5376.348629,2894.074205,7879.546359
"Mean % of NNs that are LCSs, among all misclassifications",0.123169353,0.459273093,0.199105605,0.093810609,0.336576049,0.101440376,0.388487751,0.134393959,0.019652648,0.286125961,0.30237474,0.705999975,0.465652276,0.201840727,0.588167611,0.124007995,0.529023634,0.259785351,0.076057086,0.375867453,0.444499755,0.886538441,0.649205204,0.325275933,0.79637311,0.336847135
"Mean % of NNs that are LCSs, among all misclassifications",0.133122812,0.44476747,0.196390633,0.098794519,0.322846997,0.094870168,0.38924347,0.119974031,0.021038957,0.28994316,0.274037441,0.678164979,0.434912489,0.176346095,0.559875594,0.092378805,0.476892227,0.198690732,0.046643407,0.317414123,0.472389753,0.883544592,0.651072055,0.349044876,0.786472398,0.37517483
"Mean % of NNs that are LCSs, among all misclassifications",0.125748535,0.442430095,0.202089655,0.110259807,0.335320785,0.092189081,0.38652561,0.119424374,0.03983172,0.337754986,0.215322788,0.632322512,0.375146598,0.131016911,0.50362939,0.109597088,0.409088022,0.188988141,0.0660854,0.2733701,0.405880253,0.824549159,0.568675099,0.306509087,0.721939138,0.343827189
