"X","CES_pollution_N_100","CES_pollution_N_1000","CES_pollution_N_250","CES_pollution_N_50","CES_pollution_N_500","CES_score_N_100","CES_score_N_1000","CES_score_N_250","CES_score_N_50","CES_score_N_500","PA_N_100","PA_N_1000","PA_N_250","PA_N_50","PA_N_500","Roads_N_100","Roads_N_1000","Roads_N_250","Roads_N_50","Roads_N_500","School_N_100","School_N_1000","School_N_250","School_N_50","School_N_500","AQS"
"95th percentile of errors",4.33935680903117,3.98273688329186,4.24757529338074,4.38768027196188,4.14138123341913,4.34212620336335,3.99477908412561,4.24187314999406,4.38225386107356,4.13900989087797,4.032396979,3.351550428,3.79170872,4.181821375,3.578054153,4.31370840600064,3.86289576918753,4.19950017535238,4.37506206650006,4.05818683381536,3.87310300737969,3.03540329061488,3.5404796025225,4.08701771289889,3.28212136522133,4.44825194856502
"% of the |errors| > 10",0.00348165666935664,0.00233690352502572,0.00313761468613184,0.00368271395659101,0.00279574884715555,0.00342357841101103,0.00235685383807607,0.00306039147320401,0.00363260152323047,0.00273904063605008,0.003030431,0.001923701,0.002586733,0.003336126,0.00227135,0.00344980700559866,0.00230277564682806,0.00312343971276779,0.00370160238909585,0.00273807739678178,0.0025506198177666,0.00137524482065152,0.00200169860237133,0.00300852613024827,0.00165409379200977,0.00402121403265596
"95th percentile of errors",4.08051413344834,3.77233008693759,4.00948111758792,4.10956357475004,3.91335469866434,4.06506714244814,3.74571241643412,3.98244502371522,4.09374104917754,3.89042233544928,3.844949772,3.167062225,3.616783879,3.971182684,3.39381068,4.05957982569066,3.66056741847564,3.96935751742496,4.09796857614966,3.84827067890374,3.56962636491084,2.62463911079155,3.19322561796747,3.79866233940495,2.89605622729299,4.13782660449368
"% of the |errors| > 10",0.00285637862371213,0.00197519680649042,0.00261401832364978,0.00297633485087193,0.00232528621811878,0.00273741267567582,0.00188147974469908,0.00245761418798381,0.00288334346188447,0.00219817179835654,0.002639235,0.00170726,0.00231693,0.002840575,0.002033651,0.00282741296397233,0.00200783525123906,0.00261923630163873,0.00299412631691389,0.00233723756113705,0.00200715821676682,0.00092625822090929,0.0015147681406207,0.00241418203902127,0.00118425223112785,0.00317945505501421
"95th percentile of errors",3.99523227961151,3.71863783822519,3.92902248350869,4.0268040527183,3.84766799648549,3.98614110827042,3.65433930521471,3.89835410445288,4.00895227754814,3.79937815922543,3.890143478,3.340328857,3.720586968,3.965709841,3.543037912,3.9623636383592,3.62446475827554,3.88788626434067,4.0044358960555,3.78185742753552,3.66422899539251,2.79703386741074,3.33997973296796,3.82763069043419,3.07140640878371,4.05487443634568
"% of the |errors| > 10",0.00308520374543077,0.00215931804610947,0.00277856585145705,0.00324938346686242,0.00251981452022316,0.0029628768030973,0.00199554059792316,0.0026266285544885,0.00314829701564726,0.00233672192572136,0.003176041,0.002173216,0.00282183,0.003352707,0.002512025,0.00299663842012027,0.00211427915508978,0.00275227970908612,0.00325120454673979,0.0024537918886641,0.00263801628176275,0.00133076703218557,0.00208400543764007,0.0030250320245723,0.00170249261249269,0.0036054487330075
"Mean distance to NN monitor/sensor",9234.2115087622,6515.88496811774,8465.90924141009,9593.41314322553,7629.80776346514,9317.18992571693,6800.35909994449,8612.97984653721,9640.36375588691,7831.77458343713,8061.000473,4535.312554,6772.512599,8825.725448,5683.655095,9195.03541018002,6159.26694614461,8310.50535531822,9587.45636636289,7364.07119100147,7390.47026671289,3149.66929333739,5666.53290622138,8409.7293489661,4330.96132453997,10108.2037929581
"Mean distance to NN monitor/sensor",8271.86346120542,6024.78520892636,7662.35001613341,8542.71700000305,6965.78995677019,8260.25613895416,6021.69506241648,7646.96963560023,8540.08060138785,6953.86208260162,7430.6485,4471.711179,6374.464187,8023.17269,5472.47734,8300.1632912932,5813.31656969408,7605.67759000096,8576.76284194229,6831.93286904099,6346.33287196805,2478.90119967932,4710.47801609597,7342.17683970821,3497.66374655357,8943.63555581812
"Mean distance to NN monitor/sensor",7806.11845470522,5534.01255962081,7097.47582119209,8162.27790336455,6405.42549312643,7747.12468575912,5361.71281230203,6990.21042383135,8124.41214778187,6237.61809169733,7731.837527,4987.494566,6892.292861,8150.602213,6017.377569,7837.59215376541,5390.78824085105,7106.922256146,8181.61664689025,6315.37589534591,6565.680135618,2871.80412330609,5150.5099895721,7389.16562730814,3982.67741861822,8688.060497907
"Mean distance to NN monitor/sensor, among misclassifications > 1",8592.03860339663,5633.77400740806,7614.64180861159,9087.71487858632,6769.79937653717,8467.00829988615,5624.98326995243,7477.79133541415,8968.10028583608,6634.26305683925,33379.06941,15846.68034,28442.37603,35297.49611,21386.83457,24059.64851336,8970.93980779332,16470.5211082872,28837.6123639467,13250.6673235597,31214.2719973103,10364.1878779616,25486.8492580321,31087.1856330065,17316.5863425316,38741.8928882469
